obs_id,country,layer,category,item_name,spec,unit,geo_level,geo_code,geo_name,area_label,area_code,area_members,price,currency,price_basis,price_status,ref_value,ref_note,period,effective_from,source_id,source_page,evidence_url,license,jccdb_v4_item_id,note
e339e3f7cb54705d,US,spending,Building / Addition/Alteration,Building / Addition/Alteration | (all permitclass),permittypemapped=Building; permittypedesc=Addition/Alteration; permitclass=(all); issueddate の年,permits,city,53,Seattle,,,,3755,,count,published_open_terms,3746,うち申告額が有効(100 ドル以上 10 億ドル未満)な件数,2023,,city-seattle-permits-76t5-zqzr,raw/city-seattle-permits-76t5-zqzr.hist.2023-2025.json(SoQL の group 集計の応答),https://data.seattle.gov/d/76t5-zqzr,OPEN-TERMS,,原本に無い値(区分ごとの件数を足した値)。Building Permits (Seattle Department of Construction & Inspections) の許可の件数。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 9 件、10 億ドル以上 0 件。Census place GEOID 5363000。Seattle は issueddate の年で数えた。EstProjectCost は原本の説明で fair market value (parts plus labor) に基づく見積で、事業が変われば変わる。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない
a4008d67600a6fc5,US,spending,Building / Addition/Alteration,Building / Addition/Alteration | (all permitclass),permittypemapped=Building; permittypedesc=Addition/Alteration; permitclass=(all); issueddate の年,USD,city,53,Seattle,,,,946213386.02,USD,permit_valuation_total_usd,published_open_terms,3746,合計に入れた件数,2023,,city-seattle-permits-76t5-zqzr,raw/city-seattle-permits-76t5-zqzr.hist.2023-2025.json(SoQL の group 集計の応答),https://data.seattle.gov/d/76t5-zqzr,OPEN-TERMS,,原本に無い値。3746 件の申告工事額(estprojectcost)の合計。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 9 件、10 億ドル以上 0 件。合計は外れ値に弱い。合計に入れた最大の申告額は 30948277 ドル(1 件、合計の 3.27%)。Census place GEOID 5363000。Seattle は issueddate の年で数えた。EstProjectCost は原本の説明で fair market value (parts plus labor) に基づく見積で、事業が変われば変わる。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない
116d61ee608faffb,US,spending,Building / Addition/Alteration,Building / Addition/Alteration | (all permitclass),permittypemapped=Building; permittypedesc=Addition/Alteration; permitclass=(all); issueddate の年,USD per permit,city,53,Seattle,,,,60000,USD,permit_valuation_median_usd,published_open_terms,3746,計算に使った件数,2023,,city-seattle-permits-76t5-zqzr,raw/city-seattle-permits-76t5-zqzr.hist.2023-2025.json(SoQL の group 集計の応答),https://data.seattle.gov/d/76t5-zqzr,OPEN-TERMS,,原本に無い値。3746 件の申告工事額(estprojectcost)の中央値(線形補間、numpy 既定の type 7)。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 9 件、10 億ドル以上 0 件。Census place GEOID 5363000。Seattle は issueddate の年で数えた。EstProjectCost は原本の説明で fair market value (parts plus labor) に基づく見積で、事業が変われば変わる。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない
dc3538b9928a04ea,US,spending,Building / Addition/Alteration,Building / Addition/Alteration | (all permitclass),permittypemapped=Building; permittypedesc=Addition/Alteration; permitclass=(all); issueddate の年,USD per permit,city,53,Seattle,,,,20000,USD,permit_valuation_p25_usd,published_open_terms,3746,計算に使った件数,2023,,city-seattle-permits-76t5-zqzr,raw/city-seattle-permits-76t5-zqzr.hist.2023-2025.json(SoQL の group 集計の応答),https://data.seattle.gov/d/76t5-zqzr,OPEN-TERMS,,原本に無い値。3746 件の申告工事額(estprojectcost)の25 パーセンタイル(線形補間、numpy 既定の type 7)。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 9 件、10 億ドル以上 0 件。Census place GEOID 5363000。Seattle は issueddate の年で数えた。EstProjectCost は原本の説明で fair market value (parts plus labor) に基づく見積で、事業が変われば変わる。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない
f74925a5146429f3,US,spending,Building / Addition/Alteration,Building / Addition/Alteration | (all permitclass),permittypemapped=Building; permittypedesc=Addition/Alteration; permitclass=(all); issueddate の年,USD per permit,city,53,Seattle,,,,162382.25,USD,permit_valuation_p75_usd,published_open_terms,3746,計算に使った件数,2023,,city-seattle-permits-76t5-zqzr,raw/city-seattle-permits-76t5-zqzr.hist.2023-2025.json(SoQL の group 集計の応答),https://data.seattle.gov/d/76t5-zqzr,OPEN-TERMS,,原本に無い値。3746 件の申告工事額(estprojectcost)の75 パーセンタイル(線形補間、numpy 既定の type 7)。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 9 件、10 億ドル以上 0 件。Census place GEOID 5363000。Seattle は issueddate の年で数えた。EstProjectCost は原本の説明で fair market value (parts plus labor) に基づく見積で、事業が変われば変わる。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない
e699aa793101ec3b,US,spending,Building / Addition/Alteration,Building / Addition/Alteration | Commercial,permittypemapped=Building; permittypedesc=Addition/Alteration; permitclass=Commercial; issueddate の年,permits,city,53,Seattle,,,,693,,count,published_open_terms,693,うち申告額が有効(100 ドル以上 10 億ドル未満)な件数,2023,,city-seattle-permits-76t5-zqzr,raw/city-seattle-permits-76t5-zqzr.hist.2023-2025.json(SoQL の group 集計の応答),https://data.seattle.gov/d/76t5-zqzr,OPEN-TERMS,,原本に無い値(区分ごとの件数を足した値)。Building Permits (Seattle Department of Construction & Inspections) の許可の件数。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 0 件、10 億ドル以上 0 件。Census place GEOID 5363000。Seattle は issueddate の年で数えた。EstProjectCost は原本の説明で fair market value (parts plus labor) に基づく見積で、事業が変われば変わる。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない
1191d93837686768,US,spending,Building / Addition/Alteration,Building / Addition/Alteration | Commercial,permittypemapped=Building; permittypedesc=Addition/Alteration; permitclass=Commercial; issueddate の年,USD,city,53,Seattle,,,,428540081,USD,permit_valuation_total_usd,published_open_terms,693,合計に入れた件数,2023,,city-seattle-permits-76t5-zqzr,raw/city-seattle-permits-76t5-zqzr.hist.2023-2025.json(SoQL の group 集計の応答),https://data.seattle.gov/d/76t5-zqzr,OPEN-TERMS,,原本に無い値。693 件の申告工事額(estprojectcost)の合計。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 0 件、10 億ドル以上 0 件。合計は外れ値に弱い。合計に入れた最大の申告額は 30948277 ドル(1 件、合計の 7.22%)。Census place GEOID 5363000。Seattle は issueddate の年で数えた。EstProjectCost は原本の説明で fair market value (parts plus labor) に基づく見積で、事業が変われば変わる。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない
8f7c103dbe96a55d,US,spending,Building / Addition/Alteration,Building / Addition/Alteration | Commercial,permittypemapped=Building; permittypedesc=Addition/Alteration; permitclass=Commercial; issueddate の年,USD per permit,city,53,Seattle,,,,87500,USD,permit_valuation_median_usd,published_open_terms,693,計算に使った件数,2023,,city-seattle-permits-76t5-zqzr,raw/city-seattle-permits-76t5-zqzr.hist.2023-2025.json(SoQL の group 集計の応答),https://data.seattle.gov/d/76t5-zqzr,OPEN-TERMS,,原本に無い値。693 件の申告工事額(estprojectcost)の中央値(線形補間、numpy 既定の type 7)。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 0 件、10 億ドル以上 0 件。Census place GEOID 5363000。Seattle は issueddate の年で数えた。EstProjectCost は原本の説明で fair market value (parts plus labor) に基づく見積で、事業が変われば変わる。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない
9dc999cdbcb37303,US,spending,Building / Addition/Alteration,Building / Addition/Alteration | Commercial,permittypemapped=Building; permittypedesc=Addition/Alteration; permitclass=Commercial; issueddate の年,USD per permit,city,53,Seattle,,,,28000,USD,permit_valuation_p25_usd,published_open_terms,693,計算に使った件数,2023,,city-seattle-permits-76t5-zqzr,raw/city-seattle-permits-76t5-zqzr.hist.2023-2025.json(SoQL の group 集計の応答),https://data.seattle.gov/d/76t5-zqzr,OPEN-TERMS,,原本に無い値。693 件の申告工事額(estprojectcost)の25 パーセンタイル(線形補間、numpy 既定の type 7)。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 0 件、10 億ドル以上 0 件。Census place GEOID 5363000。Seattle は issueddate の年で数えた。EstProjectCost は原本の説明で fair market value (parts plus labor) に基づく見積で、事業が変われば変わる。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない
fb132c8750a9d053,US,spending,Building / Addition/Alteration,Building / Addition/Alteration | Commercial,permittypemapped=Building; permittypedesc=Addition/Alteration; permitclass=Commercial; issueddate の年,USD per permit,city,53,Seattle,,,,251387,USD,permit_valuation_p75_usd,published_open_terms,693,計算に使った件数,2023,,city-seattle-permits-76t5-zqzr,raw/city-seattle-permits-76t5-zqzr.hist.2023-2025.json(SoQL の group 集計の応答),https://data.seattle.gov/d/76t5-zqzr,OPEN-TERMS,,原本に無い値。693 件の申告工事額(estprojectcost)の75 パーセンタイル(線形補間、numpy 既定の type 7)。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 0 件、10 億ドル以上 0 件。Census place GEOID 5363000。Seattle は issueddate の年で数えた。EstProjectCost は原本の説明で fair market value (parts plus labor) に基づく見積で、事業が変われば変わる。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない
2f976166c2b2366e,US,spending,Building / Addition/Alteration,Building / Addition/Alteration | Industrial,permittypemapped=Building; permittypedesc=Addition/Alteration; permitclass=Industrial; issueddate の年,permits,city,53,Seattle,,,,53,,count,published_open_terms,53,うち申告額が有効(100 ドル以上 10 億ドル未満)な件数,2023,,city-seattle-permits-76t5-zqzr,raw/city-seattle-permits-76t5-zqzr.hist.2023-2025.json(SoQL の group 集計の応答),https://data.seattle.gov/d/76t5-zqzr,OPEN-TERMS,,原本に無い値(区分ごとの件数を足した値)。Building Permits (Seattle Department of Construction & Inspections) の許可の件数。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 0 件、10 億ドル以上 0 件。Census place GEOID 5363000。Seattle は issueddate の年で数えた。EstProjectCost は原本の説明で fair market value (parts plus labor) に基づく見積で、事業が変われば変わる。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない
