obs_id,country,layer,category,item_name,spec,unit,geo_level,geo_code,geo_name,area_label,area_code,area_members,price,currency,price_basis,price_status,ref_value,ref_note,period,effective_from,source_id,source_page,evidence_url,license,jccdb_v4_item_id,note
46351e128c359ba9,US,cost_sqft,Building / Accessory Structure,Building / Accessory Structure | (all permitclass),permittypemapped=Building; permittypedesc=Accessory Structure; permitclass=(all); issuedate の年。PermitTypeMapped が Other(道路占用・看板・植樹・住所変更など建築工事でないもの)は除く,USD per square foot,city,22,New Orleans,,,,65.57,USD,permit_valuation_per_sqft_median_usd,published_open_terms,80,計算に使った件数,2023,,city-neworleans-permits-72f9-bi28,raw/city-neworleans-permits-72f9-bi28.hist.2023-2025.json(SoQL の group 集計の応答),https://data.nola.gov/d/72f9-bi28,OPEN-TERMS,,原本に無い値。80 件の(申告工事額 / 面積)の中央値。面積は totalsqft。有効な申告額(100 ドル以上 10 億ドル未満)で面積 100 sqft 以上の許可だけ。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 1 件、10 億ドル以上 0 件。Census place GEOID 2255000。New Orleans は issuedate の年で数えた。EstProjectCost は原本の説明で『construction contract の写し、自主施工なら明細見積』に基づく工事額。TotalSqFt は新築・増築の面積(該当しなければ 0)。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない
8e9d228d07cc6bd1,US,cost_sqft,Building / Accessory Structure,Building / Accessory Structure | Accessory Use,permittypemapped=Building; permittypedesc=Accessory Structure; permitclass=Accessory Use; issuedate の年。PermitTypeMapped が Other(道路占用・看板・植樹・住所変更など建築工事でないもの)は除く,USD per square foot,city,22,New Orleans,,,,69.84,USD,permit_valuation_per_sqft_median_usd,published_open_terms,21,計算に使った件数,2023,,city-neworleans-permits-72f9-bi28,raw/city-neworleans-permits-72f9-bi28.hist.2023-2025.json(SoQL の group 集計の応答),https://data.nola.gov/d/72f9-bi28,OPEN-TERMS,,原本に無い値。21 件の(申告工事額 / 面積)の中央値。面積は totalsqft。有効な申告額(100 ドル以上 10 億ドル未満)で面積 100 sqft 以上の許可だけ。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 0 件、10 億ドル以上 0 件。Census place GEOID 2255000。New Orleans は issuedate の年で数えた。EstProjectCost は原本の説明で『construction contract の写し、自主施工なら明細見積』に基づく工事額。TotalSqFt は新築・増築の面積(該当しなければ 0)。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない
1aacb5865090c1e2,US,cost_sqft,Building / Accessory Structure,Building / Accessory Structure | Business Use,permittypemapped=Building; permittypedesc=Accessory Structure; permitclass=Business Use; issuedate の年。PermitTypeMapped が Other(道路占用・看板・植樹・住所変更など建築工事でないもの)は除く,USD per square foot,city,22,New Orleans,,,,56.04,USD,permit_valuation_per_sqft_median_usd,published_open_terms,10,計算に使った件数,2023,,city-neworleans-permits-72f9-bi28,raw/city-neworleans-permits-72f9-bi28.hist.2023-2025.json(SoQL の group 集計の応答),https://data.nola.gov/d/72f9-bi28,OPEN-TERMS,,原本に無い値。10 件の(申告工事額 / 面積)の中央値。面積は totalsqft。有効な申告額(100 ドル以上 10 億ドル未満)で面積 100 sqft 以上の許可だけ。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 1 件、10 億ドル以上 0 件。Census place GEOID 2255000。New Orleans は issuedate の年で数えた。EstProjectCost は原本の説明で『construction contract の写し、自主施工なら明細見積』に基づく工事額。TotalSqFt は新築・増築の面積(該当しなければ 0)。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない
efa8efda6f60db96,US,cost_sqft,Building / Accessory Structure,Building / Accessory Structure | Single Family,permittypemapped=Building; permittypedesc=Accessory Structure; permitclass=Single Family; issuedate の年。PermitTypeMapped が Other(道路占用・看板・植樹・住所変更など建築工事でないもの)は除く,USD per square foot,city,22,New Orleans,,,,67.13,USD,permit_valuation_per_sqft_median_usd,published_open_terms,40,計算に使った件数,2023,,city-neworleans-permits-72f9-bi28,raw/city-neworleans-permits-72f9-bi28.hist.2023-2025.json(SoQL の group 集計の応答),https://data.nola.gov/d/72f9-bi28,OPEN-TERMS,,原本に無い値。40 件の(申告工事額 / 面積)の中央値。面積は totalsqft。有効な申告額(100 ドル以上 10 億ドル未満)で面積 100 sqft 以上の許可だけ。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 0 件、10 億ドル以上 0 件。Census place GEOID 2255000。New Orleans は issuedate の年で数えた。EstProjectCost は原本の説明で『construction contract の写し、自主施工なら明細見積』に基づく工事額。TotalSqFt は新築・増築の面積(該当しなければ 0)。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない
4394941e41777645,US,cost_sqft,Building / New Construction,Building / New Construction | (all permitclass),permittypemapped=Building; permittypedesc=New Construction; permitclass=(all); issuedate の年。PermitTypeMapped が Other(道路占用・看板・植樹・住所変更など建築工事でないもの)は除く,USD per square foot,city,22,New Orleans,,,,112.35,USD,permit_valuation_per_sqft_median_usd,published_open_terms,475,計算に使った件数,2023,,city-neworleans-permits-72f9-bi28,raw/city-neworleans-permits-72f9-bi28.hist.2023-2025.json(SoQL の group 集計の応答),https://data.nola.gov/d/72f9-bi28,OPEN-TERMS,,原本に無い値。475 件の(申告工事額 / 面積)の中央値。面積は totalsqft。有効な申告額(100 ドル以上 10 億ドル未満)で面積 100 sqft 以上の許可だけ。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 4 件、10 億ドル以上 0 件。Census place GEOID 2255000。New Orleans は issuedate の年で数えた。EstProjectCost は原本の説明で『construction contract の写し、自主施工なら明細見積』に基づく工事額。TotalSqFt は新築・増築の面積(該当しなければ 0)。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない
3cbcc19aeac53558,US,cost_sqft,Building / New Construction,Building / New Construction | Business Use,permittypemapped=Building; permittypedesc=New Construction; permitclass=Business Use; issuedate の年。PermitTypeMapped が Other(道路占用・看板・植樹・住所変更など建築工事でないもの)は除く,USD per square foot,city,22,New Orleans,,,,268.89,USD,permit_valuation_per_sqft_median_usd,published_open_terms,34,計算に使った件数,2023,,city-neworleans-permits-72f9-bi28,raw/city-neworleans-permits-72f9-bi28.hist.2023-2025.json(SoQL の group 集計の応答),https://data.nola.gov/d/72f9-bi28,OPEN-TERMS,,原本に無い値。34 件の(申告工事額 / 面積)の中央値。面積は totalsqft。有効な申告額(100 ドル以上 10 億ドル未満)で面積 100 sqft 以上の許可だけ。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 0 件、10 億ドル以上 0 件。Census place GEOID 2255000。New Orleans は issuedate の年で数えた。EstProjectCost は原本の説明で『construction contract の写し、自主施工なら明細見積』に基づく工事額。TotalSqFt は新築・増築の面積(該当しなければ 0)。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない
02759136cd155347,US,cost_sqft,Building / New Construction,Building / New Construction | Single Family,permittypemapped=Building; permittypedesc=New Construction; permitclass=Single Family; issuedate の年。PermitTypeMapped が Other(道路占用・看板・植樹・住所変更など建築工事でないもの)は除く,USD per square foot,city,22,New Orleans,,,,119.96,USD,permit_valuation_per_sqft_median_usd,published_open_terms,227,計算に使った件数,2023,,city-neworleans-permits-72f9-bi28,raw/city-neworleans-permits-72f9-bi28.hist.2023-2025.json(SoQL の group 集計の応答),https://data.nola.gov/d/72f9-bi28,OPEN-TERMS,,原本に無い値。227 件の(申告工事額 / 面積)の中央値。面積は totalsqft。有効な申告額(100 ドル以上 10 億ドル未満)で面積 100 sqft 以上の許可だけ。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 1 件、10 億ドル以上 0 件。Census place GEOID 2255000。New Orleans は issuedate の年で数えた。EstProjectCost は原本の説明で『construction contract の写し、自主施工なら明細見積』に基づく工事額。TotalSqFt は新築・増築の面積(該当しなければ 0)。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない
debf2cd7866c18df,US,cost_sqft,Building / New Construction,Building / New Construction | Two-Family,permittypemapped=Building; permittypedesc=New Construction; permitclass=Two-Family; issuedate の年。PermitTypeMapped が Other(道路占用・看板・植樹・住所変更など建築工事でないもの)は除く,USD per square foot,city,22,New Orleans,,,,105.4,USD,permit_valuation_per_sqft_median_usd,published_open_terms,196,計算に使った件数,2023,,city-neworleans-permits-72f9-bi28,raw/city-neworleans-permits-72f9-bi28.hist.2023-2025.json(SoQL の group 集計の応答),https://data.nola.gov/d/72f9-bi28,OPEN-TERMS,,原本に無い値。196 件の(申告工事額 / 面積)の中央値。面積は totalsqft。有効な申告額(100 ドル以上 10 億ドル未満)で面積 100 sqft 以上の許可だけ。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 3 件、10 億ドル以上 0 件。Census place GEOID 2255000。New Orleans は issuedate の年で数えた。EstProjectCost は原本の説明で『construction contract の写し、自主施工なら明細見積』に基づく工事額。TotalSqFt は新築・増築の面積(該当しなければ 0)。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない
a710a644dfc1b046,US,cost_sqft,Building / Renovation (Non-Structural),Building / Renovation (Non-Structural) | (all permitclass),permittypemapped=Building; permittypedesc=Renovation (Non-Structural); permitclass=(all); issuedate の年。PermitTypeMapped が Other(道路占用・看板・植樹・住所変更など建築工事でないもの)は除く,USD per square foot,city,22,New Orleans,,,,66.9,USD,permit_valuation_per_sqft_median_usd,published_open_terms,92,計算に使った件数,2023,,city-neworleans-permits-72f9-bi28,raw/city-neworleans-permits-72f9-bi28.hist.2023-2025.json(SoQL の group 集計の応答),https://data.nola.gov/d/72f9-bi28,OPEN-TERMS,,原本に無い値。92 件の(申告工事額 / 面積)の中央値。面積は totalsqft。有効な申告額(100 ドル以上 10 億ドル未満)で面積 100 sqft 以上の許可だけ。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 37 件、10 億ドル以上 0 件。Census place GEOID 2255000。New Orleans は issuedate の年で数えた。EstProjectCost は原本の説明で『construction contract の写し、自主施工なら明細見積』に基づく工事額。TotalSqFt は新築・増築の面積(該当しなければ 0)。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない
876bf43bc1314e2d,US,cost_sqft,Building / Renovation (Non-Structural),Building / Renovation (Non-Structural) | Business Use,permittypemapped=Building; permittypedesc=Renovation (Non-Structural); permitclass=Business Use; issuedate の年。PermitTypeMapped が Other(道路占用・看板・植樹・住所変更など建築工事でないもの)は除く,USD per square foot,city,22,New Orleans,,,,68.05,USD,permit_valuation_per_sqft_median_usd,published_open_terms,55,計算に使った件数,2023,,city-neworleans-permits-72f9-bi28,raw/city-neworleans-permits-72f9-bi28.hist.2023-2025.json(SoQL の group 集計の応答),https://data.nola.gov/d/72f9-bi28,OPEN-TERMS,,原本に無い値。55 件の(申告工事額 / 面積)の中央値。面積は totalsqft。有効な申告額(100 ドル以上 10 億ドル未満)で面積 100 sqft 以上の許可だけ。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 13 件、10 億ドル以上 0 件。Census place GEOID 2255000。New Orleans は issuedate の年で数えた。EstProjectCost は原本の説明で『construction contract の写し、自主施工なら明細見積』に基づく工事額。TotalSqFt は新築・増築の面積(該当しなければ 0)。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない
4a5b1cb4912f6248,US,cost_sqft,Building / Renovation (Non-Structural),Building / Renovation (Non-Structural) | Single Family,permittypemapped=Building; permittypedesc=Renovation (Non-Structural); permitclass=Single Family; issuedate の年。PermitTypeMapped が Other(道路占用・看板・植樹・住所変更など建築工事でないもの)は除く,USD per square foot,city,22,New Orleans,,,,92.56,USD,permit_valuation_per_sqft_median_usd,published_open_terms,26,計算に使った件数,2023,,city-neworleans-permits-72f9-bi28,raw/city-neworleans-permits-72f9-bi28.hist.2023-2025.json(SoQL の group 集計の応答),https://data.nola.gov/d/72f9-bi28,OPEN-TERMS,,原本に無い値。26 件の(申告工事額 / 面積)の中央値。面積は totalsqft。有効な申告額(100 ドル以上 10 億ドル未満)で面積 100 sqft 以上の許可だけ。除いた許可: 申告額の欠け 0 件、100 ドル未満(0 を含む) 9 件、10 億ドル以上 0 件。Census place GEOID 2255000。New Orleans は issuedate の年で数えた。EstProjectCost は原本の説明で『construction contract の写し、自主施工なら明細見積』に基づく工事額。TotalSqFt は新築・増築の面積(該当しなければ 0)。申告工事額は許可申請者の申告(見積・予定額)で、実際の契約額・精算額ではない。許可が要らない工事や無許可の工事は含まれない
