obs_id,country,layer,category,item_name,spec,unit,geo_level,geo_code,geo_name,area_label,area_code,area_members,price,currency,price_basis,price_status,ref_value,ref_note,period,effective_from,source_id,source_page,evidence_url,license,jccdb_v4_item_id,note
531e958f114611ce,JP,labor,設計業務委託等技術者単価 ①設計業務,主任技術者,基準日額(所定労働時間内8時間当たり),人日,national,JP,日本,,,,70600,JPY,engineer_daily_rate,published_pdl,60,割増対象賃金比(%)。時間外・休日・深夜の割増賃金を積算するときに基準日額に掛ける比率(原本の同じ表),2022-03,2022-03-01,mlit-gijutsusha-r4,p5,https://www.mlit.go.jp/tec/content/001465214.pdf,PDL1.0,,
8750a80dd10bf8a3,JP,labor,設計業務委託等技術者単価 ①設計業務,理事、技師長,基準日額(所定労働時間内8時間当たり),人日,national,JP,日本,,,,66900,JPY,engineer_daily_rate,published_pdl,50,割増対象賃金比(%)。時間外・休日・深夜の割増賃金を積算するときに基準日額に掛ける比率(原本の同じ表),2022-03,2022-03-01,mlit-gijutsusha-r4,p5,https://www.mlit.go.jp/tec/content/001465214.pdf,PDL1.0,,
f3b2adbf274c2abd,JP,labor,設計業務委託等技術者単価 ①設計業務,主任技師,基準日額(所定労働時間内8時間当たり),人日,national,JP,日本,,,,58600,JPY,engineer_daily_rate,published_pdl,55,割増対象賃金比(%)。時間外・休日・深夜の割増賃金を積算するときに基準日額に掛ける比率(原本の同じ表),2022-03,2022-03-01,mlit-gijutsusha-r4,p5,https://www.mlit.go.jp/tec/content/001465214.pdf,PDL1.0,,
f81b3ef9acf940b8,JP,labor,設計業務委託等技術者単価 ①設計業務,技師（Ａ）,基準日額(所定労働時間内8時間当たり),人日,national,JP,日本,,,,51200,JPY,engineer_daily_rate,published_pdl,60,割増対象賃金比(%)。時間外・休日・深夜の割増賃金を積算するときに基準日額に掛ける比率(原本の同じ表),2022-03,2022-03-01,mlit-gijutsusha-r4,p5,https://www.mlit.go.jp/tec/content/001465214.pdf,PDL1.0,,原本で山括弧書き。注)<>書きは、特別措置によりコロナ禍の影響を考慮した単価を示している。
bb2bb2f5088636bd,JP,labor,設計業務委託等技術者単価 ①設計業務,技師（Ｂ）,基準日額(所定労働時間内8時間当たり),人日,national,JP,日本,,,,41600,JPY,engineer_daily_rate,published_pdl,60,割増対象賃金比(%)。時間外・休日・深夜の割増賃金を積算するときに基準日額に掛ける比率(原本の同じ表),2022-03,2022-03-01,mlit-gijutsusha-r4,p5,https://www.mlit.go.jp/tec/content/001465214.pdf,PDL1.0,,
b1cfc241e280b5fc,JP,labor,設計業務委託等技術者単価 ①設計業務,技師（Ｃ）,基準日額(所定労働時間内8時間当たり),人日,national,JP,日本,,,,32800,JPY,engineer_daily_rate,published_pdl,60,割増対象賃金比(%)。時間外・休日・深夜の割増賃金を積算するときに基準日額に掛ける比率(原本の同じ表),2022-03,2022-03-01,mlit-gijutsusha-r4,p5,https://www.mlit.go.jp/tec/content/001465214.pdf,PDL1.0,,原本で山括弧書き。注)<>書きは、特別措置によりコロナ禍の影響を考慮した単価を示している。
791daf13ba06fb9d,JP,labor,設計業務委託等技術者単価 ①設計業務,技術員,基準日額(所定労働時間内8時間当たり),人日,national,JP,日本,,,,29000,JPY,engineer_daily_rate,published_pdl,60,割増対象賃金比(%)。時間外・休日・深夜の割増賃金を積算するときに基準日額に掛ける比率(原本の同じ表),2022-03,2022-03-01,mlit-gijutsusha-r4,p5,https://www.mlit.go.jp/tec/content/001465214.pdf,PDL1.0,,原本で山括弧書き。注)<>書きは、特別措置によりコロナ禍の影響を考慮した単価を示している。
ee95cd21bd655b78,JP,labor,設計業務委託等技術者単価 ②測量業務,測量主任技師,基準日額(所定労働時間内8時間当たり),人日,national,JP,日本,,,,48000,JPY,engineer_daily_rate,published_pdl,60,割増対象賃金比(%)。時間外・休日・深夜の割増賃金を積算するときに基準日額に掛ける比率(原本の同じ表),2022-03,2022-03-01,mlit-gijutsusha-r4,p5,https://www.mlit.go.jp/tec/content/001465214.pdf,PDL1.0,,
3c77f5baaaf25768,JP,labor,設計業務委託等技術者単価 ②測量業務,測量技師,基準日額(所定労働時間内8時間当たり),人日,national,JP,日本,,,,42200,JPY,engineer_daily_rate,published_pdl,55,割増対象賃金比(%)。時間外・休日・深夜の割増賃金を積算するときに基準日額に掛ける比率(原本の同じ表),2022-03,2022-03-01,mlit-gijutsusha-r4,p5,https://www.mlit.go.jp/tec/content/001465214.pdf,PDL1.0,,
90caa79bfcf36a59,JP,labor,設計業務委託等技術者単価 ②測量業務,測量技師補,基準日額(所定労働時間内8時間当たり),人日,national,JP,日本,,,,32400,JPY,engineer_daily_rate,published_pdl,60,割増対象賃金比(%)。時間外・休日・深夜の割増賃金を積算するときに基準日額に掛ける比率(原本の同じ表),2022-03,2022-03-01,mlit-gijutsusha-r4,p5,https://www.mlit.go.jp/tec/content/001465214.pdf,PDL1.0,,
